Cell ID,has_aggregate,cell_area,cell_mean_intensity,cell_total_intensity,cell_variance_intensity,cell_sd_intensity,aggregate_total_intensity,aggregate_mean_intensity,rest_of_cell_mean_intensity,rest_of_cell_total_intensity,rest_of_cell_variance_intensity,rest_of_cell_sd_intensity
69,False,5494,15.36336609634753,84406.33333333333,357.2917607358921,18.902162858675513,,,,,,
70,False,1810,8.301289134438306,15025.333333333334,102.04992467330736,10.101976275625843,,,,,,
71,False,3829,31.271698441716723,119739.33333333333,1758.8154460836945,41.93823370247839,,,,,,
72,False,4523,23.780381752524136,107558.66666666667,1012.630815654987,31.821860656708733,,,,,,
73,False,2113,18.39596150812431,38870.666666666664,522.5859183805975,22.86013819688318,,,,,,
74,False,3365,28.937493808816246,97374.66666666667,1397.5749934218288,37.38415430930368,,,,,,
75,True,4873,15.30959709966482,74603.66666666667,445.46403745310323,21.106018986372188,172.0,57.333333333333336,15.300971538040503,223639.0,444.27743747975927,21.077889777673647
76,True,3698,17.43879574544799,64488.66666666667,497.2037085191237,22.29806512949327,164.0,54.666666666666664,17.42872599404923,193302.0,495.86587394268287,22.268046028843276
77,False,5062,21.986895825102067,111297.66666666666,715.5829311384956,26.75038188771322,,,,,,
78,True,3477,34.781900105454895,120936.66666666667,2031.0774444195101,45.06747657035515,222.0,74.0,34.770617568085925,362588.0,2029.0781853876933,45.04529037965782
79,False,3610,16.07313019390582,58024.00000000001,377.14312842903297,19.420173233754454,,,,,,
80,False,4814,19.418570835064397,93481.00000000001,595.7280667014288,24.407541185081072,,,,,,
81,False,5364,16.045488441461597,86068.0,426.35624549222274,20.648395712311956,,,,,,
82,True,1549,29.536475145255004,45752.0,1324.7358656042347,36.39692110061282,151.0,50.333333333333336,29.523040482342807,137105.0,1323.069882572866,36.374027582505434
83,False,6103,16.075263531596484,98107.33333333334,374.0781193322115,19.341099227608847,,,,,,
84,False,4662,26.071428571428573,121545.0,1140.6747921390781,33.77387736312013,,,,,,
85,False,2659,23.856838410429987,63435.333333333336,907.6560748984218,30.12733102846022,,,,,,
86,False,2355,20.22972399150743,47641.0,612.9305248353551,24.757433728788513,,,,,,
87,False,2213,10.686398553999096,23649.0,179.91249913984427,13.41314650407742,,,,,,
88,False,1182,19.94303440496334,23572.666666666664,571.8518028623246,23.913423068693543,,,,,,
89,False,2850,17.683508771929823,50397.99999999999,452.51340055401675,21.272362364204326,,,,,,
90,False,4014,17.473592426507224,70139.0,469.17024600495176,21.66033808611841,,,,,,
91,True,3822,21.00662829234258,80287.33333333334,715.4545173774447,26.747981557071643,181.0,60.333333333333336,20.99633603768647,240681.0,713.9418866015513,26.719690990008687
92,False,2666,11.92223055763941,31784.666666666664,208.43631250398246,14.437323592133774,,,,,,
93,True,4065,18.229848298482985,74104.33333333333,534.0166244542315,23.108799719029793,157.0,52.333333333333336,18.221456692913385,222156.0,532.9440671693843,23.085581369534196
94,False,2166,17.112034472145275,37064.666666666664,413.9714433524589,20.3462881959452,,,,,,
95,False,540,12.852469135802469,6940.333333333333,235.9195926688005,15.359674237066374,,,,,,
96,False,1461,15.439881359799225,22557.666666666668,335.1028767370083,18.30581538028307,,,,,,
97,True,3161,20.52029948328588,64864.666666666664,671.2880778603254,25.90922765850664,149.0,49.666666666666664,20.51107594936709,194445.0,670.1678098127971,25.887599537477342
98,True,5014,21.8959579843106,109786.33333333334,789.8299544106799,28.103913507031006,181.0,60.333333333333336,21.888290444843406,329178.0,788.7056538298648,28.083903821047826
99,True,3937,18.01261535856405,70915.66666666667,555.8460012117158,23.57638651727011,180.0,60.0,18.00194783197832,212567.0,554.2986920054086,23.54354884050849
100,False,3494,15.569166189658462,54398.666666666664,401.43334807407916,20.0358016578843,,,,,,
101,False,5351,18.466018812682986,98811.66666666666,529.561746294295,23.01220863572845,,,,,,
102,True,5689,16.912052498974628,96212.66666666666,456.4137218492389,21.363841458156323,118.0,39.333333333333336,16.90811064228786,288520.0,456.03222676319194,21.35491106896004
103,False,4662,20.19169169169169,94133.66666666666,678.3798852119673,26.04572681289519,,,,,,
104,False,2391,14.906454760908964,35641.333333333336,345.0988751072871,18.576837058748378,,,,,,
105,False,3791,21.099621911544887,79988.66666666667,637.9775018354189,25.25821652127123,,,,,,
106,False,4451,20.760203699543172,92403.66666666666,633.8458902303556,25.1762961976212,,,,,,
107,False,1973,12.541476600777159,24744.333333333336,229.2521654831068,15.141075440110152,,,,,,
108,False,2826,20.02630337343713,56594.33333333333,606.9454039098518,24.636261971124025,,,,,,
109,False,2754,23.03836843379327,63447.666666666664,823.5437953530002,28.69745276767609,,,,,,
110,False,4294,19.776432231020028,84920.0,564.4934113356109,23.759070085666462,,,,,,
111,False,4297,28.29361570087658,121577.66666666666,1390.0939930627708,37.283964288454776,,,,,,
112,False,4468,19.496568188600417,87110.66666666666,623.0897375512292,24.961765513505433,,,,,,
113,False,3977,24.761461738328723,98476.33333333333,999.014929185088,31.607197426932494,,,,,,
114,False,4690,14.941222459132907,70074.33333333334,377.11417135562914,19.419427678374795,,,,,,
115,False,5279,24.145924101786953,127466.33333333333,921.9974597083266,30.364411071323723,,,,,,
116,True,4636,17.178817946505607,79641.0,511.90036524065584,22.625215252913193,183.0,61.0,17.169363538295578,238740.0,510.50026241404623,22.59425286248798
117,True,4191,20.21609798775153,84725.66666666667,671.792401317687,25.918958337820737,175.0,58.333333333333336,20.20700079554495,254002.0,670.4962119276048,25.893941606630783
118,False,525,16.653333333333332,8743.0,418.3649015873016,20.453970313543078,,,,,,
119,False,776,17.924398625429554,13909.333333333334,450.90150092700844,21.2344413848589,,,,,,
120,False,4486,18.95682865210284,85040.33333333334,588.121705858736,24.251220708631063,,,,,,
121,False,2559,17.111501888758628,43788.33333333333,425.6650455103845,20.631651545874472,,,,,,
122,False,3072,13.867513020833334,42601.0,293.171357790629,17.122247451506738,,,,,,
123,False,3022,11.382528127068166,34398.0,205.7671952851674,14.344587665219498,,,,,,
124,True,2205,19.699622071050644,43437.66666666667,597.93925155785,24.45279639546058,117.0,39.0,19.690865093768906,130196.0,597.0974180658898,24.435576892430632
125,False,2863,20.855512865292816,59709.333333333336,720.1271034422898,26.835184058289776,,,,,,
126,False,4203,17.16670632088191,72151.66666666667,448.13669468740625,21.169239350704274,,,,,,
127,False,5934,18.420514548927088,109307.33333333334,519.8511418990412,22.800244338582015,,,,,,
128,False,3224,17.88544251447477,57662.666666666664,450.59667807134394,21.227262613708437,,,,,,
129,False,1139,10.693005560433129,12179.333333333334,166.23908774740838,12.893373792278279,,,,,,
130,True,5139,19.02873451384835,97788.66666666667,577.4707316994464,24.030620709824507,128.0,42.666666666666664,19.024133904242895,293238.0,576.985663824291,24.02052588567309
131,False,3756,30.736421725239616,115446.0,1615.7716695530676,40.19666241807978,,,,,,
132,False,2960,10.90259009009009,32271.666666666668,174.02260590404592,13.191762805025185,,,,,,
133,False,3866,16.627004655975167,64279.99999999999,396.10333006912816,19.902344838463836,,,,,,
134,False,1278,15.811424100156495,20207.0,376.81029202514685,19.411601995331218,,,,,,
135,True,4296,20.235955927995033,86933.66666666666,655.8027202066238,25.608645419206066,203.0,67.66666666666667,20.224912689173458,260598.0,653.9900817250117,25.57322978673229
136,True,2822,25.941412709662178,73206.66666666667,1025.5992134070393,32.02497796107031,174.0,58.0,25.93004844617748,219446.0,1023.9726561125057,31.99957274890566
137,True,2730,21.48229548229548,58646.666666666664,728.3864386868049,26.988635361700023,143.0,47.666666666666664,21.472700622938806,175797.0,727.2601256368911,26.967760856936028
138,False,2229,13.8525497233438,30877.333333333332,292.81211515286634,17.111753713540477,,,,,,
139,False,3429,32.089822105570136,110036.0,1635.0670753742054,40.43596264928294,,,,,,
140,False,3378,16.578843497138347,56003.333333333336,449.9564341864797,21.212176554669718,,,,,,
141,False,4975,15.113634840871022,75190.33333333333,357.9586784127224,18.91979594003916,,,,,,
142,False,1312,17.270325203252032,22658.666666666664,426.4396275365193,20.65041470616315,,,,,,
143,False,2859,8.418911041156582,24069.666666666668,106.09442143279983,10.300214630423962,,,,,,
144,False,4068,22.11946902654867,89982.0,814.9978543231148,28.548167267324093,,,,,,
145,False,2988,15.758478357875948,47086.33333333333,404.3777449402947,20.10914580334766,,,,,,
146,False,3780,23.33042328042328,88189.0,904.4471696621034,30.07402815823154,,,,,,
147,True,3257,21.109200695936956,68752.66666666667,725.0797751363664,26.927305382016343,162.0,54.0,21.0990990990991,206096.0,723.760449638828,26.902796316346524
148,False,1435,10.688269454123112,15337.666666666666,164.83848028047228,12.838943892722341,,,,,,
149,False,2691,14.479747305834263,38965.0,299.79151971813496,17.314488722400526,,,,,,
150,False,3577,16.343118069145465,58459.33333333333,384.60801782400586,19.611425695854084,,,,,,
151,False,3572,16.579507278835386,59222.0,392.3885087531199,19.80879877107948,,,,,,
152,False,3545,28.08443817583451,99559.33333333334,1129.910312601608,33.614138581876645,,,,,,
153,False,3776,22.09807556497175,83442.33333333333,740.6461897993746,27.2148156304498,,,,,,
154,False,3792,19.948839662447256,75646.0,604.4861308617743,24.5862996577723,,,,,,
155,False,2282,18.370581361378907,41921.666666666664,483.74858823929037,21.994285354138935,,,,,,
156,False,877,19.145952109464083,16791.0,589.1858435537689,24.27315067216798,,,,,,
157,True,2533,24.441373864982236,61910.0,974.7389961911895,31.220810306447678,144.0,48.0,24.432069510268562,185586.0,973.6532316834252,31.20341698730165
158,False,4936,24.567058346839545,121263.0,970.2113324595886,31.14821555819191,,,,,,
159,False,4589,18.596644149052082,85340.0,582.7473788740964,24.140161119472594,,,,,,
160,False,3368,18.77454473475851,63232.666666666664,533.6524557507701,23.100918937366323,,,,,,
161,False,3998,26.288727697181923,105102.33333333333,982.5987273624028,31.346430855240964,,,,,,
162,True,5333,19.162385149071817,102193.0,617.5379788350966,24.850311443422527,180.0,60.0,19.154726181545385,306399.0,616.4252346024427,24.8279124092712
163,False,4630,19.25860331173506,89167.33333333333,636.9864000651006,25.23858950228995,,,,,,
164,True,5157,16.297976859931484,84048.66666666667,459.4312149619105,21.434346618497855,159.0,53.0,16.29085854667701,251987.0,458.51334544857116,21.412924728970847
165,False,4941,24.27679956823855,119951.66666666667,927.4350193194035,30.453817811883678,,,,,,
166,True,3706,24.02500449721173,89036.66666666667,903.3060846150184,30.055050900223385,173.0,57.666666666666664,24.01592442645074,266937.0,902.0235880680627,30.033707531173416
167,False,4206,26.982960849579964,113490.33333333333,1256.4058754622492,35.44581605016661,,,,,,
168,False,3355,21.074813710879283,70706.0,674.2854113537712,25.967006206988344,,,,,,
